Maricopa County Block Groups GEO_ID,Geographic Area Name,Total,White,Black,Latitutde,Longitude,Native American,Asian,Pacific Islander,Other,Two Race
040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",2157,2040,17,33.761937,-111.769252,6,40,2,25,27
040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",1716,1640,25,33.737259,-111.719723,5,15,5,7,19
040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1200,1189,2,33.722252,-111.673374,1,6,0,0,2
040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",859,800,1,33.719294,-111.661543,0,2,5,36,15
040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",1728,1599,10,33.822248,-111.858644,3,68,0,14,34
040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",2053,1968,10,33.854701,-111.859369,3,38,0,10,24
040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1689,1619,11,33.812399,-111.932994,1,25,0,11,22
040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1211,1160,5,33.82894,-111.909965,7,22,0,8,9
040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",1383,1321,14,33.8007,-111.904886,3,18,0,8,19
040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",690,660,0,33.866742,-111.942785,0,3,2,18,7
040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",1616,1484,2,33.843125,-111.945482,7,11,0,93,19
040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",1589,1483,25,33.817486,-111.960508,11,13,1,32,24
040130405021,"Block Group 1, Census Tract 405.02, Maricopa County, Arizona",453,398,0,33.975773,-112.728201,2,10,0,34,9
040130405022,"Block Group 2, Census Tract 405.02, Maricopa County, Arizona",789,649,6,33.964222,-112.730011,32,2,0,74,26
040130405023,"Block Group 3, Census Tract 405.02, Maricopa County, Arizona",2371,2163,4,33.974421,-112.748387,37,9,0,119,39
040130405024,"Block Group 4, Census Tract 405.02, Maricopa County, Arizona",1248,1133,2,33.960677,-112.757044,14,3,1,83,12
040130405061,"Block Group 1, Census Tract 405.06, Maricopa County, Arizona",1734,1689,14,33.662144,-112.346351,5,1,2,9,14
040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",1258,1232,10,33.659158,-112.336626,2,5,1,3,5
040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",989,978,4,33.658032,-112.328635,2,5,0,0,0
040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",1228,1197,12,33.645147,-112.330654,3,3,0,0,13
040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",1410,1393,7,33.667354,-112.37982,2,3,0,0,5
040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",2326,2274,12,33.652125,-112.355697,0,20,2,4,14
040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",751,735,10,33.650385,-112.349251,0,3,0,0,3
040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",787,766,10,33.647321,-112.34037,1,3,0,2,5
040130405075,"Block Group 5, Census Tract 405.07, Maricopa County, Arizona",823,799,9,33.664202,-112.368025,2,6,2,1,4
040130405121,"Block Group 1, Census Tract 405.12, Maricopa County, Arizona",1690,1656,15,33.677607,-112.390314,3,12,1,1,2
040130405131,"Block Group 1, Census Tract 405.13, Maricopa County, Arizona",1365,1341,11,33.67102,-112.361337,2,5,0,2,4
040130405132,"Block Group 2, Census Tract 405.13, Maricopa County, Arizona",1666,1636,13,33.678144,-112.370331,0,10,0,2,5
040130405141,"Block Group 1, Census Tract 405.14, Maricopa County, Arizona",1922,1881,12,33.676788,-112.334529,4,12,2,6,5
040130405142,"Block Group 2, Census Tract 405.14, Maricopa County, Arizona",1182,1163,4,33.672278,-112.341076,1,10,0,1,3
040130405151,"Block Group 1, Census Tract 405.15, Maricopa County, Arizona",2511,2036,10,33.948205,-112.987378,46,5,3,372,39
040130405152,"Block Group 2, Census Tract 405.15, Maricopa County, Arizona",2281,1949,8,33.837147,-112.678027,24,17,1,227,55
040130405161,"Block Group 1, Census Tract 405.16, Maricopa County, Arizona",782,704,12,33.711729,-112.617918,7,7,0,36,16
040130405162,"Block Group 2, Census Tract 405.16, Maricopa County, Arizona",2074,1944,42,33.66882,-112.626158,7,19,5,43,14
040130405171,"Block Group 1, Census Tract 405.17, Maricopa County, Arizona",4058,3379,25,33.765059,-112.543216,50,38,6,443,117
040130405172,"Block Group 2, Census Tract 405.17, Maricopa County, Arizona",3563,2638,120,33.688855,-112.472474,24,45,1,629,106
040130405181,"Block Group 1, Census Tract 405.18, Maricopa County, Arizona",1767,1569,2,33.905301,-112.640554,27,3,1,130,35
040130405182,"Block Group 2, Census Tract 405.18, Maricopa County, Arizona",1866,1713,5,33.755858,-112.425175,8,7,4,63,66
040130405183,"Block Group 3, Census Tract 405.18, Maricopa County, Arizona",1056,883,56,33.730382,-112.43644,13,23,3,36,42
040130405184,"Block Group 4, Census Tract 405.18, Maricopa County, Arizona",1126,946,55,33.717359,-112.418068,1,9,0,79,36
040130405185,"Block Group 5, Census Tract 405.18, Maricopa County, Arizona",864,773,5,33.722361,-112.388417,8,8,6,53,11
040130405191,"Block Group 1, Census Tract 405.19, Maricopa County, Arizona",1785,1564,37,33.755995,-112.345416,7,70,1,40,66
040130405192,"Block Group 2, Census Tract 405.19, Maricopa County, Arizona",751,710,11,33.737969,-112.332881,0,17,1,7,5
040130405193,"Block Group 3, Census Tract 405.19, Maricopa County, Arizona",1059,999,29,33.729747,-112.332143,3,16,0,4,8
